,R通道一阶矩,R通道二阶矩,R通道三阶矩,G通道一阶矩,G通道二阶矩,G通道三阶矩,B通道一阶矩,B通道二阶矩,B通道三阶矩,序号,类别
9,0.6642725490196077,0.011002351815975834,0.0015158373525587527,0.5763349019607842,0.007727184884294105,0.0010714566418395962,0.2937407843137254,0.019135593302182407,0.002635085820095069,18,1
10,0.7006882352941175,0.00841832072319291,0.0011807067827239483,0.6013188235294117,0.007144579639402172,0.0009905957928415246,0.2931541176470588,0.013291937764479424,0.0018463234007467734,19,1
11,0.5638513725490195,0.00980487806314494,0.0015639156372954308,0.5349698039215687,0.007857203768344402,0.0012740193321688733,0.2718482352941176,0.011868474591099286,0.0018983130402147003,2,1
12,0.6221266666666666,0.010103007123682351,0.0014347596323777512,0.5485329411764704,0.005808026092364014,0.0008076612351163738,0.2662662745098039,0.012039583305366466,0.0016890594337660646,20,1
13,0.6117235294117646,0.009844613396071407,0.0013648398294381712,0.5284458823529411,0.006851459976255288,0.0009439659570905548,0.23851921568627454,0.014816814663431302,0.0020091298394446597,21,1
14,0.6242564705882351,0.008197510748287022,0.0011561558989570428,0.5682819607843136,0.004641617381742357,0.0006503246716328816,0.3227976470588235,0.011135722374537187,0.0015959485388836884,22,1
15,0.6926525490196078,0.008949104706508818,0.0012235661546866523,0.6643772549019608,0.005705279342841492,0.0007922431691627504,0.27967960784313717,0.012108560023232195,0.0017347723989275794,23,1
16,0.5677764705882351,0.007843442150936434,0.001108777463285323,0.5853799999999999,0.006054691642694941,0.0008436030939140613,0.25152156862745095,0.01307309824531437,0.0018328669963788582,24,1
17,0.5498545098039215,0.007528567752940233,0.0010500731776026105,0.5832866666666667,0.005379712399179491,0.0007464884030877039,0.2946247058823529,0.012215533005049862,0.001654731462896993,25,1
18,0.562758431372549,0.007089246465992967,0.0010006655791347805,0.5647199999999999,0.005079887806902707,0.0007121015947802362,0.28865019607843134,0.012088998662346207,0.0016276050088552126,26,1
19,0.6636094117647059,0.007998677168602326,0.0012791943982482267,0.6233298039215684,0.005877526372801367,0.0009647218991538965,0.21158509803921574,0.013753641919561476,0.002164742939697485,27,1
20,0.6685494117647058,0.007316226234927817,0.0011981453122115382,0.6202117647058821,0.006355463067592871,0.0010408258079292639,0.22181411764705886,0.010865562910523912,0.0017415763610006518,28,1
21,0.5773866666666666,0.02025368940432177,0.002714116454735555,0.5396678431372548,0.014892414852739554,0.001957113668742865,0.2811435294117647,0.012350070902143281,0.0017360361540920718,29,1
22,0.630289019607843,0.00781166067140741,0.0012588285258854468,0.5942568627450979,0.005916423878573705,0.000971118442723981,0.2984635294117646,0.01019433828287836,0.0016163058719562244,3,1
23,0.6396894117647058,0.011384312617778721,0.0015646454358682958,0.5952074509803921,0.0087848140526282,0.001217165685238335,0.24014392156862746,0.01518739694329184,0.00205277291431735,30,1
24,0.5580376470588234,0.013125742594103932,0.0018077697152281678,0.5354235294117646,0.008485381961688895,0.0011838568818294995,0.265858431372549,0.014398632293328868,0.0019856821926942858,31,1
25,0.6205435294117646,0.014450791517109806,0.002792205927891828,0.5922854901960783,0.0108566728692579,0.002116161449823562,0.22025137254901966,0.010264305058001815,0.0020906572743517845,32,1
26,0.6134235294117645,0.013817323596577922,0.0026925018433014906,0.5828713725490194,0.01084363233986582,0.0021243331321364497,0.2243003921568628,0.01093333645595927,0.00220399723260976,33,1
27,0.6037074509803919,0.010799361223936332,0.0021696237691391524,0.6080137254901958,0.0066421784964556365,0.0013383216776289898,0.25410431372549014,0.010506458671586845,0.0021220779028850384,34,1
28,0.6034258823529409,0.009992402373319014,0.002004816645642656,0.6023290196078429,0.006622672357743218,0.0013458428719718245,0.2388,0.010979806707081643,0.002230331873468032,35,1
29,0.6342341176470587,0.007596350638425973,0.0015561121205448193,0.5574133333333331,0.005924408927961762,0.001200512043558771,0.18165254901960784,0.010237999822674778,0.0020746855636193163,36,1
30,0.5748180392156862,0.007779370228585522,0.0010830233992650835,0.5618439215686274,0.004862732384550094,0.0006860158154389752,0.2565992156862745,0.011165584075326095,0.001559486243100204,37,1
31,0.6415050980392156,0.00831703371101118,0.0011354590435836863,0.6197541176470586,0.005444782355793543,0.0007597199420842539,0.333118431372549,0.008898934408257014,0.0013006582683232168,38,1
32,0.5563788235294117,0.00731934540953933,0.0010044230532034106,0.5754345098039215,0.005192486157438876,0.0007287920539190711,0.2850976470588235,0.01010794487691518,0.001418817513158611,39,1
33,0.6385823529411764,0.008226903054709474,0.0013155316206795492,0.6192643137254901,0.006072895948860807,0.001003071361079033,0.319672156862745,0.009838160635530589,0.0015582375566134718,4,1
34,0.5854788235294116,0.007995415439534694,0.001112727392800865,0.565510588235294,0.005299043402025248,0.0007405835524587252,0.2558733333333333,0.010699592140465838,0.0014921372699115676,40,1
35,0.5820329411764704,0.006921697982460662,0.0009910886841768562,0.5714345098039214,0.004958001792682197,0.0006958177820223015,0.28028627450980387,0.01035477627823968,0.0015218273483120397,41,1
